Timestamp	Student ID Number	Grade Level	Name of Mission	What did you most like about the mission?	Describe the easiest part of the mission.	Describe the most difficult part of the mission.	What do you think can be improved about the mission?	On a scale of 1-10, how well do you feel you communicated with your fellow Infinity Knights?	On a scale of 1-10, how well do you feel other Infinity Knights communicated with you?	On a scale of 1- 10, how much did you trust your fellow Infinity Knights to complete their assigned tasks in a timely manner?	Give 1-2 examples during the mission that helped increase/decrease the trust between you and your fellow Infinity Knights? (please don’t list names, only positions).	Give a situation in which you had to use problem solving skills during the mission.	During the mission, when did you have to be creative in coming up with a solution to a problem?	DreamFlight believes that working as a team is an important component for success. After completing this mission, describe three personality traits a great Infinity Knight would have.	Rate the amount of teamwork used to complete the mission, as compared to the amount of teamwork when working within a classroom	What job/role did you apply for on this mission? (first choice)	Did you get the job/role for which you applied?	Do you feel like you want to learn more about this job/role in the future after you have undertaken this role? 	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	If you didn’t get the job you wanted, do you think that affected how you did your job?	Why or why not?	What other roles did you seem interested in and why?	What skills do you think a person acting in this particular job/role in the real world, would need to have to be successful?	Did you feel pressure to meet deadlines or expectations of your position?	Why or why not?	Do you believe that every job was critical or contributed to the success of the mission? 	Why or why not?	Provide two specific examples as to how this mission tied directly in to what you have been learning with class.	What is something new that you have learned having completed the mission?
2018/03/13 2:40:25 PM AST	701089	8th	Contaminant	I liked flying through the river. 	Scanning the river was the easiest part of the mission.	The most difficult part of the mission was destroying the enemy ships.	I think the river should be more detailed. 	5	3	7	I was the hacker. I disabled enemy ships' engines. It helped the tactical aim at them and destroy them faster. It increased trust between us.	I had to use problem solving skills to distribute the computer capacity to the different computers. I had to make sure all of them were sufficiently charged and working.	I had to be creative when I was hacking into enemy ships. They had robots that would ruin my connection. I had to avoid and go around them to disable the ships' engines. 	An Infinity Knight has to be trustworthy. His team should be able to rely on him to do his job. An Infinity Knight must be courageous and keep going in the face danger. Lastly, an Infinity Knight must be kind so that his team will respect him and trust him on the mission.	4	Tactical (formerly Gunner)	No									No	My second choice was to be a hacker, and I got it instead of being a tactical. I had been a hacker twice already, so I knew how to do my job.	I was interested in being a tactical because I thought it would be fun. 	I think that a hacker needs to be patient because they have to wait for the computer to reboot or for their computer to hack an enemy computer.	No	My job wasn't difficult or stressful. Most of the things that I had to do involved waiting.	Yes	All of the jobs did something to help us move forward in the mission.	In our class, we are talking about pollution and how it impacts the environment. We also talked about pollution destroying ecosystems.The mission talked about pollution in a river and its dangerous effects on the fish population. The simulation showed us an example of what we are learning about.	I learned how to work with my team to complete a task. We had different jobs, but we all worked towards the same goal.
2018/03/13 3:44:36 PM AST	1500275	8th	Contaminant	Shooting the enemy ships	Getting the fish to follow the ship	Killing the enemy ships	There could be more action toward the beginning of the mission	10	10	10	Captain told me what to do and I did it and if he didn't the first officer would	when the enemy ships were attacking us	When I had to chose what ammo to use 	communication, bravery, and courage	5	Tactical (formerly Gunner)	Yes	No	it was boring up until the end	pilot because the pilot did something the whole time	transforming ships to have more armor and less speed or the opposite	No	Because I was cool, calm, and collected	Yes	Every job had a role in successfully completing the mission 									Pollution and factory waste	Factories pollute the water too not just the air
2018/03/13 4:01:37 PM AST	701057	8th	Contaminant	That we were able to work together more	Going upstream 	Finding the fish	Roles such as communications and hacker and more could be more involved 	8	8	6	When First officer helped me when the captain couldn’t and when medical gave me scans to be safe	When I had to fully take over communications when the captain couldn’t 	When I had to decrypt the messages and the environmental log	Calm,Cooperative,Reasonable	4	Communications	Yes	Yes	Yes because I feel there was more to communications 	Hacker because it seemed fun yet challenging 	Calm,Outspoken,Honest	Yes	Yes because I needed to make calls when people were confused 	Yes	Because everyone has a role in a team									How we would filter out dirty water with bottles and learning about how much waste is dumbed	It takes a lot of people to complete a mission
2018/03/13 4:01:47 PM AST	701057	8th	Contaminant	That we were able to work together more	Going upstream 	Finding the fish	Roles such as communications and hacker and more could be more involved 	8	8	6	When First officer helped me when the captain couldn’t and when medical gave me scans to be safe	When I had to fully take over communications when the captain couldn’t 	When I had to decrypt the messages and the environmental log	Calm,Cooperative,Reasonable	4	Communications	Yes	Yes	Yes because I feel there was more to communications 	Hacker because it seemed fun yet challenging 	Calm,Outspoken,Honest	Yes	Yes because I needed to make calls when people were confused 	Yes	Because everyone has a role in a team									How we would filter out dirty water with bottles and learning about how much waste is dumbed	It takes a lot of people to complete a mission
2018/03/13 4:02:21 PM AST	701057	8th	Contaminant	That we were able to work together more	Going upstream 	Finding the fish	Roles such as communications and hacker and more could be more involved 	8	8	6	When First officer helped me when the captain couldn’t and when medical gave me scans to be safe	When I had to fully take over communications when the captain couldn’t 	When I had to decrypt the messages and the environmental log	Calm,Cooperative,Reasonable	4	Communications	Yes	Yes	Yes because I feel there was more to communications 	Hacker because it seemed fun yet challenging 	Calm,Outspoken,Honest	Yes	Yes because I needed to make calls when people were confused 	Yes	Because everyone has a role in a team									How we would filter out dirty water with bottles and learning about how much waste is dumbed	It takes a lot of people to complete a mission
2018/03/13 4:20:29 PM AST	421403	8th	Contaminant	My job	My job	"The communication
"	Having more communication 	7	6	8	People helped me with my jobs to get them done quicker 	When I was asked questions 	When they asked me to figure out problems	You have to be friendly, nice and you have to communicate 	3	Security Guard	Yes	No	I already know what I want to do 	Engineer it looked and sounded fun	You would have to be firm and strict but also nice at times 	No	I did it in a timely manner and it was fine 	Yes	Everyone had a role and they all did it well									The pollution in the air and the  contaminants 	That there is a lot of  pollution in the air
2018/03/13 5:38:18 PM AST	1502073	8th	Contaminant	i liked how well it tied into our lesson	de-coding the messages was easy	fighting off the robots was hard to d	the clearness of the computers and other peoples voices	10	9	7	our pilot didnt listen to us and would do his own thing	when we had to take the water samples to  find the fish in the long river 	mostly the entire time 	problem solving quick thinking and patience 	5	Captain	Yes	Yes	it was fun and i enjoyed helping everyone around me	 i like the doctor one because ive done it before and it is challenging 	patience 	Yes	being captian is a hard job to withold and make everyone happy	Yes	there were many jobs that effected the other jobs, so everyones mattered									it delt with human impact on the envioronment and how the pollution effects the entire community	fish like to migrate near the freshest water possible
2018/03/13 6:01:52 PM AST	1505026	8th	Contaminant	Trying to find out where the fishes went 	Finding the fishes	Getting hacked by the enemy 	Make it harder 	8	8	8	Communicating with other people, specially the captain increased our trust. 	Equaling out how much power to give to the others parts of the ship. 	When I was hacking by the system, I had to be creative and hide from the enemy’s security.	Smart, understanding, helpful 	3	Hacker	Yes	No	Because I’m not interested in hacking other systems. 	Doctor, because I like helping people and doing my best to save them. 	Quick decision maker, smart 	Yes	Because I had never done that specific job	Yes	Because everyone has their own duty and if one person doesn’t do their job then we all fail. 									It taught me the effects of bad and contaminated water in the word and it also taught me  how we as the people are ruining our water. 	Our actions have ruined and still is running our environment Android if we don’t do something fast then we might have to face the punishment that the environment gives us.
2018/03/13 6:04:57 PM AST	421398	8th	Contaminant	I enjoyed working together with my crew to attempt to complete the mission. This was my favorite part of the experience.	In my opinion, the easiest part of the mission was supplying my tactical officer with ammunition. As a team, the easiest part was scanning the water for pollution levels and other measures.	The most difficult part of the mission was attempting to escape the enemy ships from the river. Most of our ship was damaged and it was a challenge to get out of the situation.	I believe that scanning the water took slightly too long. The mission would be better if this time was shortened.	8	7	8	When each position had to give each other codes, we had to communicate together as a team and trust that each position entered the correct code.	There were multiple systems on the ship that were damaged and needed repaired. I fixed the more important systems first, and the less important systems afterwards.	We had to be creative when we found the fish in the river. We had to figure out how the fish were surviving in this location, and my team decided that they were receiving fresh water from a running source. This was a creative idea because we had to "think outside the box."	Patient, Understanding, Problem-Solver	4	Engineers	Yes	Yes	I enjoyed participating in this role in the mission, so I would enjoy doing this in the future.	I was interested in the Hacker role, because I am experienced with computers and technology.	A person in this position in real life would need to remain calm and patient with their occupations.	No	I did not feel pressured, because I knew that my team would understand if somebody made a mistake. I was not worried about making an incorrect decision.	Yes	I believe this because everyone had an important role to play in the mission, and since we successfully completed the mission, everyone on the ship did their job perfectly									In class, we are learning about pollution and what the side effects are of it. We had to explore a polluted river in the mission. In class, we learned about ecosystems and what animals need to survive. We learned how the fish were able with fresh water in the mission.	I learned that pollution can eventually sicken and kill many people, and it needs to be stopped immediately.
2018/03/13 6:55:49 PM AST	701098	8th	Contaminant	It was my first mission, so I had never been in there, but my favorite part was the ipads. 	The easiest part of the mission was going down into the water. 	The most difficult part of the mission was trying to communicate with everybody. 	I think our communication could be improved. 	3	2	8	The captain was loud and aware of his or her surroundings, so we could clearly hear directions. 	We had to fight off the enemies, so we had to figure out have to make them leave. 	We had to be creative when the Vecassa company saw us in the water because we had to be less noticeable. 	A great Infinity Knight should be prepared, creative and aware. 	4	Biologist	Yes	Yes	It seems interesting, and I like working with living things. 	The role of captain would be interesting because you get to lead everybody. 	A captain would need to be loud and trustworthy. 	Yes	You always want your mission to come out as successful. 	Yes	We needed all of the positions because we all worked as a team. 									This mission was on pollution and sicknesses. We are learning about the effects of pollution, and we are learning about sicknesses and diseases our population can face in the near future. 	I learned that teamwork can make you victorious. 
2018/03/13 7:34:39 PM AST	421457	8th	Contaminant	I liked watching everyone work together to have a successful mission.	I don’t believe there was an easiest part compared to other parts.	The most difficult part, for my job was to get rid of the hacker.	I think having more communication would be helpful.	5	3	3	Everyone had different jobs to focus on so it was hard to trust everyone else when you had to do your own thing.	When the hacker came in.	When the hacker came in.	friendly, hardworking, intelligent 	3	Engineers	No									No	I am good at any job I do.	It did not matter to me what job I got. I work hard at any job.	A person would have to be able to communicate with a team.	No	I knew what I had to do, and I did it.	No	Some jobs did more than others and not all were needed.	The whole scenario was what we were learning in class.	That working as a team gets the job done.
2018/03/13 7:58:48 PM AST	1503311	8th	Contaminant	Working with my team	My job was kind of the easiest part of the mission, well to be honest everything was pretty easy because we worked together as a team 	The ship would crash a lot 	 Navigator 	9	9	8	Towards the the end of the mission everyone was panicking, which decreased the truth weather we are going to pass the mission or not.	I don’t know	Well I don’t know, I just had to be calm and patient with the problems going on there	Truth on each other, compassion, and self truth.	5	Doctor	No									No	No, because no matter what job you get, your main focus should always be that you are going to get the job done and you are going to do it right!!	First officer, because I had done that job before and it seemed fun.	They have to believe in their self ( self trust) and compassion.	Yes	I wanted to know what would my position be and yeah...	Yes	Yes, because it does not depend on one person, everyone has to work together and everyone’ Job is important, and everyone holds a important position in mission, without the crew or the team the mission would had impossible.	We are learning about pollution, global warming and all the needs for us human beings needs to live in earth and the same thing was going in the mission we did 	Every job in the world is something not nothing , even working with the person you don’t like won’t hurt you, it’s always the best thing to do, work as a team 
2018/03/13 8:58:33 PM AST	rd0421481	8th	Contaminant	I liked being the Doctor and trying to find the fish.	The easiest part of the mission was the scans. 	The most difficult part was trying to watch everyone and keep them healthy when they all got sick at the same time.	I think we need to have more time to complete the mission and the instructions on what we need to do to operate our stations could be improved and have more guidance. 	9	9	8	I saw that the Deck Chief continued to solve problems and watch out for our ship as they came in which helped increase my trust. However, the hacker was very slow at restoring mine and other jobs' storage space which worried me a lot.	When the Navigator did not have information he needed to help and guide the Pilot, we all communicated to help him and continue to travel safely down stream.	I do not know of any times I had to be creative in coming up with a solution.	"Vocal/Communicative 
Creative
Calm"	4	Doctor	Yes	No	It seems very interesting, but I do not like the responsibility of having someone's life in your hands. However, I loved my job on the mission.	I was interested in Gunner and Navigator because I have never been gunner and I feel that I would be better navigating today rather than 6th grade.	Communicator, Cautious, and Patient	Yes	If I did not cure my patient in time, they could die.	Yes	Yes because every job helped one another and contributed to finding the fish and why the plague was spreading.									The river was polluted and contaminated which caused serious problems for the town. The pollution caused illness and a toll on the enviornment around it. In science we are learning about pollution and the negative effects it has on the world. 	I learned that pollution can cause way more than dirtiness and bacteria, but it can have way more serious effects. 
2018/03/13 9:50:49 PM AST	934108	8th	Contaminant	What I enjoyed most about the mission was the human pollutant theme.	The easiest part of the mission (for me) was repairing the ship while it was not under physical attack.	The hardest part of the mission (for me) was repairing the ship while it was under attack.	I think the mission can be faster-paced, as much time spent is swimming through the river.	8	5	9	Engineer 1 communicated with me often to determine who will repair what so we do not repair the same thing when unnecessary. 	I input numbers from biologist (I think) to help scan the waters. 	We had to be creative when fleeing from the enemies and locating the fish by finding a speed that was fast but did not make the pilot crash in the riverbed. 	A great Infinity Knight needs to be patient, cooperative, and optimistic.	4	Engineers	Yes	Yes	I enjoy the concept of engineering.	I was interested in the biologist because biology intrigues me.	I believe an engineer would need to be analytical and creative.	Yes	If I did not repair, many systems may collapse and compromise the mission.	No	If your group did not accidentally call Vishka Corporation like mine did, the tactical and biologist would have little impact.									Human pollution and human ecological impacts.	I have learned the existence of sand flies and the threat of the Chandipura virus.
2018/03/13 10:00:24 PM AST	Paul Yeso	8th	Contaminant	The combat	Driving down the river	Fighting the ships	Making being stealthy useful	7	8	7	see how people balance stuff and seeing how people did in combat	Getting fish to follow you without dieing	Getting fish to go in a shield so they dont die from toxins	Communication, trusting, and coordination 	4	Doctor	No									No	The doctor cant do anything with the driver	tactical because you get too shoot things	communication and control over sensitivity 	No	It did not phase me that i needed to drive	Yes	We needed everyone to keep everything working and to protect us	The pollution and the effects of it	I learned to listen to people better
2018/03/13 10:24:36 PM AST	1505900	8th	Contaminant	Videoing the mission 	Videoing 	I couldn’t Video all the important details in the mission 	I wasn’t in the mission 	8	7	8	When all the students were taking and helping each other, and that increase the trust 	Like I said I wasn’t in the mission 	I wasn’t in the mission 	I have no idea 	5	Hacker	Yes	Yes	Because it’s interesting learning new tings and a lot of fun 	Hacker	As to have Teammates and good with computers	No	Because I don’t 	Yes	Because they have to have those to success in missions 									I don’t know 	Team work is important 
2018/03/13 10:24:41 PM AST	1505900	8th	Contaminant	Videoing the mission 	Videoing 	I couldn’t Video all the important details in the mission 	I wasn’t in the mission 	8	7	8	When all the students were taking and helping each other, and that increase the trust 	Like I said I wasn’t in the mission 	I wasn’t in the mission 	I have no idea 	5	Hacker	Yes	Yes	Because it’s interesting learning new tings and a lot of fun 	Hacker	As to have Teammates and good with computers	No	Because I don’t 	Yes	Because they have to have those to success in missions 									I don’t know 	Team work is important 
2018/03/13 10:41:17 PM AST	701143	8th	Contaminant	I liked the story the most about the mission.	The easiest part of the mission was communicating with my team because there were not a lot of us. 	The most difficult part of the mission was hacking enemy computers.	I think the enemies could have been easier to beat because we almost failed the mission a couple of times.	9	9	8	One example that decreased my trust was that the navigator and pilot sometimes talked about stuff that was not about the mission.	I had to use problem solving thinking when I had to divide the energy into equal amounts to give to my team mates computers.	I had to be creative when coming up with a solution when I was hacking computers and I had to use different routes to not get caught by enemy computers.	An Infinity Knight should be daring, smart, and have quick-thinking.	4	Hacker	Yes	Yes	I do want to learn more about it because it was fun to do.	I was interested in the biologist job because you got to create a dragon and send it out to defeat enemies.	I think the person in this job would have to know exactly what to do and when to do it because they cannot mess up a job like that.	Yes	I did feel pressured because I did not want to mess up for my team or be the reason we did not complete the mission.	Yes	I do believe every job is critical because they all help each other. For example, the pilot would not be able to move without the navigator giving them speed.									We are learning about disease and pollution in class and we learned about that in the mission.	Something new I have learned is that a new disease can develop very fast because of water pollution.
2018/03/14 12:47:36 AM AST	701058	8th	Contaminant	I got to be the biologist.	Scanning the water.	Learning how to take scans of the water.	Better team work and more time to complete the mission.	8	1	1	Nobody communicated well and the navigator sped the ship up at an unbelievably fast rate.	Learning how to scan the water.	I didn't have a chance to be creative. (Bad teamwork!)	Good communication skills, responsibility, and previous experience with the job.	1	Biologist	Yes	Yes	I'm currently interested in biology.	Captain: I believe that I display strong leadership when the chance is given.	I'm a strategic and a tactical thinker.	No	I didn't get the chance to complete the mission. :(	Yes	Not everybody was good at their job.									"We had to cleanse ""polluted water"" as best as we could and have the most clean water remaining.
Environmental factors can affect population growth."	How humans effect on the environment affects population growth.
2018/03/14 7:08:39 AM AST	1501744	8th	Contaminant	i liked the whole experience 	answering the calls	finding the fish	better communication 	7	7	5	when a person wasn't doing their job	we hade trubbel spaning the water	when we were attacked	hardworking calm and nice	4	Communications	Yes	Yes	because communication is a good skill to have	the gunner because i play a lot of video games	they should be polite 	Yes	because they should 	Yes	i think all jobs were important because its a team effort 									it was about how water pollution effects the environment 	i learned that working tougher is important 
2018/03/14 9:11:39 AM AST	1503677	8th	Contaminant	I liked how we all worked together even when it started to get stressful.	When we where just driving in the water to look for anything weird i did not have to do anything during that.	once we got close to the site that was leaking the chemicals in it got harder to complete the mission	the person who was doctor, when we where in the middle of something really important that is when they took the scans. Also the captain because everyone else had to tell them what to do.	8	8	3	My trust decreased when the captain had no idea what to do the entire time.	When me and the hacker started to lose power and we both had to figure out a way together to get it back up and working for each place.	When me and the hacker started to lose power and we both had to figure out a way together to get it back up and working for each place.	Honor Compassion and Strength 	3	Hacker	No									No	My job worked closely with the hacker and i liked what i got it was interesting. 	Doctor because that is one of the job professions i would like to go into	they would need to be concentrated and organized. 	Yes	because you are under pressure for every job that you get and i had to give the limited power we had to different parts of the ship without not giving enough to one part and turning it off.	Yes	because you need every job to complete the mission. 	It showed the effect we had to the envorment 	it is worse than we thought
2018/03/14 11:34:21 AM AST	421412	8th	Contaminant	I liked the intensity of the mission 	The easiest part of the mission was being first officer telling everyone what to do. 	The most difficult part of the mission was making sure everyone was listening and doing what they were suppose to do. 	It could have lasted a little longer	8	7	8	Engineer and doctor didn't follow through with what they were told to do the first time. 	The security chief needed problem solving skills to complete their tasks	Whenever we were looking for the fish we had to ask the computer different creative questions. 	Communication, good listening, dedication	4	Engineers	No									No	Its only a job that doesn't require experience.  	engineer because i like doing different tasks 	They would need to have good leadership and a loud motivated voice. 	No	it was only a small mission. 	Yes	we completed the mission so everyone did good	we were learning about global warming and the earth along with plotion and the water was polluted. 	There were oils from different run off killing the fish and its harmful
2018/03/14 3:49:15 PM AST	1500235	8th	Contaminant	I liked how the mission took place in a river. It made it different from last year’s mission. 	The easiest part of the mission was when we had to swim upstream. 	The most difficult part of the mission were the water scans because we all had to enter information from each other. 	I think the missions can be improved by adding other animals in the river that we have to find. 	9	6	3	Our navigator did not seem to know what he/she was doing, and they werent paying much attention to the job he/she needed to do during the water scans. Our captain was very good, especially with talking in the phone with the governor. 	We had to use problem solving skills when figuring out how what was causing the disease. 	We had to be creative when we were trying to figure out how to swim upstream with out being noticed. 	An Infinity Knight needs confidence, because if they are doubtful then they won’t communicate their ideas. An Infinity knight needs to be smart, because there are times we have to figure out how to do tasks. An Infinity Knight needs to be positive, because if they don’t want to be there, then they won’t be helpful. 	4	Doctor	No									No	Because I still need to complete the tasks given to me on the mission no matter what job it is. 	Captain because I feel comfortable being in charge. 	A Captain on a plane or ship needs to be alert to their surroundings and helpful. 	Yes	Yes, because I was the communications officer so I had to let the captain know when we got messages. 	Yes	Yes, because those jobs are all there for a reason. If a job was useless, it wouldn’t be an option. They are all important. 	We have been learning about kinds of pollution in class, and there was pollution causing the water. Also, we only had a certain about of power which goes with us learning about electricity. 	I learned that water pollution can cause serious diseases. 
2018/03/14 4:13:59 PM AST	701107	8th	Contaminant	Being able to yell at everyone to do their job	Checking over to see if everyone is doing their job	Being able to give the scans water information because communications didn’t do the scans	Giving second chances 	8	6	7	They kept yelling 	To get back on the enemy ships attacking us	Whoever was yelling at me I yelled back at them to focus on their job	Corage, leadership, and calm	4	Doctor	No									Yes	I’m much better suited at being doctor than captain	Doctor I only wanted and hope to be that	Leadership, and bravery 	Yes	Everyone kept yelling	Yes	Every job has their part to play	Pollution, and teamwork	That we should take care of the earth so we can still survive and have more resources to use
2018/03/14 4:19:51 PM AST	701107	8th	Contaminant	Yelling at people	Checking to see if people are doing their job	Giving scans information because communications didn’t even do it answer it took a while 	Giving second chances	8	6	8	Yelling at me	Trying to find enemy ship and attach then back before they kill us 	They were yelling at me so I yelled at them to do their job	Courage, calm, and leadership	3	Doctor	No									Yes	I didn’t know what I was doing	Doctor I knew what I was doing 	Leadership, and bravery	Yes	Everyone was yelling at me	Yes	Every job has their role to play and is important 	Pollution, and teamwork	To take care of the earth so we have more resources and surviving people in the future cause we are slowly killing the earth
2018/03/14 5:56:06 PM AST	929063	8th	Contaminant	I personally enjoyed the part where the team was asked to scan the river the most.	I believe that the easiest part of the mission was finding the fish.	The most difficult bit of this mission was when our team was caught and was attacked by several enemy ships.	I believe that by adding landmarks in the river would make navigating through the river much easier.	1	1	10	I gained trust when our team was navigating the river smoothly and everyone was helping the mission run as effortlessly as possible. I began to lose trust when we could not figure out how to complete the scanning of the river and when we could not tell which section of the river we were in.	I had to use problem solving skills when the camera I was using ran out of storage. I solved this problem by attempting over and over again to get it to work. Eventually, I got four very low quality pictures.	I had to be creative when I was trying to get the camera to work. I did this by trying to deceive the camera by exiting out multiple times.	I believe that a great Infinity Knite should have openness, persistence, and should be trustworthy.	3	Pilot	No									No	I believe that even though I did not get my role I wanted I still attempted to take good pictures, but unfortunately the camera was out of storage.	I would be interested in manning the role of engineer. This is because it would be something completely new compared to my previous roles and I think it would be fun to be a critical element of the ships operations.	I believe that some one who would be an engineer in th real world would need to have a heavy knowledge on science, math, and drawings.	No	I did not because I observed that others before me had already supplied video and photo material.	No	I believe that the videographer was not a critical element because the mission does not need photo material to be successful.	This mission tied into what we are learning in class by demonstrating the real effects of pollution in our environment and how one simple careless act can throw off an entire ecosystem and economy.	I learned from this mission that not everything you do can work out in the end and sometimes the only answer is acceptance.
2018/03/14 6:52:36 PM AST	421490	8th	Contaminant	I liked working with my class as a team and completing our mission successfully.	The easiest part of the mission was doing my own job because i am experienced and knew what i was doing thanks to prior years.	The most difficult part of the mission was communicating with some of my team mates during emergency situations.	The only problem we had in the mission was that it crashed a couple times.	7	7	5	the pilot crashed our ship	Security  guard 1 did not know what to do and I had to help her.	There was not a time when I had to do that	Responsible, flexible, and reliable	4	Doctor	No									No	Because i still liked the job I received because I have done it before and it was fun.	I was also interested in being pilot because it seemed fun , but you also have to be very responsible	alertness and reliableness 	Yes	when the hackers came I had to get rid of them as quickly as I possibly could.	No	videoographer and biologist did not seem all that critical because the biologist just sat there and did nothing	we were taught about filtration and contamination 	contaminated water kills both people and animals
2018/03/14 7:03:27 PM AST	701134	8th	Contaminant	I liked how it looked like we were in actual water.	The easiest part was luring the fish.	The hardest part was at the end when we were ambushed.	The speed of making energy to make ammo and computer capacity.	9	8	10	"The captain stood by us and did well during water scans.
The Security Chief did well manning three jobs."	I had to decrypt messages and fix things in Deck chief.	I had to find out what to do when Vakasa found us.	Focused, Calm, and Diligent.	5	Communications	Yes	Yes	I like decrying the messages and answering the calls.	I liked Hacker because I like working with technology.	Hard working, successful, and fast.	No	I believed I worked well during the mission.	Yes	Our mission was a success.									"1. We are learning how pollution ties in with climate change.
2. We did a lab to clean water."	We learned how water pollution can harm ecosystems.
2018/03/14 8:30:54 PM AST	421389	8th	Contaminant	Working together as a team	Having a partner help u by your side	Communicating with others	They captain could of helped out more 	5	7	4	Doctor because she kept us healthy 	Repairing the things on the ship	Repairing the ships needs 	Confidence strength and intelligence 	2	Engineers	No									Yes	Because I could of been less stressed and had to do less	Doctor because u get to help people 	The engineer because u repair everything	Yes	Because u want to get the mission done	Yes	Yes so no one died in the mission	We have been learning about new diseases and needed to work as a team	Teamwork and communicate is always the key.
2018/03/14 8:30:57 PM AST	421389	8th	Contaminant	Working together as a team	Having a partner help u by your side	Communicating with others	They captain could of helped out more 	5	7	4	Doctor because she kept us healthy 	Repairing the things on the ship	Repairing the ships needs 	Confidence strength and intelligence 	2	Engineers	No									Yes	Because I could of been less stressed and had to do less	Doctor because u get to help people 	The engineer because u repair everything	Yes	Because u want to get the mission done	Yes	Yes so no one died in the mission	We have been learning about new diseases and needed to work as a team	Teamwork and communicate is always the key.
2018/03/14 8:59:41 PM AST	701136	8th	Contaminant	Near the end where we could see our journey ending	Fixing everything as a security guard	Trying to find out where to go	Team work	7	5	8	When the pilot and navigator weren't communicating well	Doing detective as a security guard	When we realized why the fish weren't in the river	Bravery cooperation team work	4	Hacker	No									No	I am fine with any job as long as we can complete our mission I will be satisfied	Engineer because it looked like it was hard but also fun	Fast thinking knowledge of color and knowledge of patterns	Yes	When we had to fight the robots I didn't know if we were going to make it	Yes	Because everyone mainly did what they were told	The causes that pollution can create and how we can solve it so it will be better for society	Human activity can cause a lot of impact on ecosystems
2018/03/15 8:36:23 AM AST	xq0701106	8th	Contaminant	the storyline	when we were traveling downstream looking for the fish	once we were trying to escape with the fish	the speed of the engineers, it takes to long to fix things	8	9	8	When we were trying to escape the fertilizer company i did not trust my team because they were  shouting at the engineers to fix things. On e that did strengthen my trust was when we were completing our water scans. We completed them quickly and efficiently.	i had to determine which thing to fix first.	when splitting my time between making ammo and fixing things.	kind outgoing and friendly	4	Biologist	No									No	i had been engineer before, so i knew what i was doing	engineer and biologist. i was interested because these are the type of jobs i consider doing in the future.	the would need to be creative and driven.	Yes	many of the other jobs can not function with me doing mine.	Yes	we would not be able to complete the mission without everyone doing there job	we learned about how pollution can affect an environment in both. we also learned about different kinds of pollution in both.	i learned that pollution can be devastating for an ecosystem. 
2018/03/15 2:03:34 PM AST	701093	8th	Contaminant	Having to find out where to go.	Piloting the ship when it was going really slow.	Having to steer when we were boosting.	I think the storyline if you completed it or failed it afterward showing your affect on the world.	3	7	3	The navigator stopped and didn’t know how to start. Another one is the navigator and tactical were arguing.	When we didn’t know how to scan the water.	We called the dream flint crew for information on how to do it.	Respectful, Knowledgeable, and  you have to pay attention.	4	Pilot	Yes	No	There is too much pressure in real life. I don’t want to be the person responsible for ending a life.	The hacker because I like to code.	They need to understand what they are supposed to do.	Yes	I am a very important role and dint want to mess up for the team.	Yes	Every job is doing something at some point in the mission.									We are learning about cancer and how it forms and it dies into diseases. We are also just learning about pollution which is another cause of the diseases.	I have learned that diseases can be carried or harmful to the water.
2018/03/15 2:06:39 PM AST	421450	8th	Contaminant	I liked trying to find the fish.	The easiest part was in the beginning when I did not have much to fix.	The most difficult part was near the end when the ship was being heavily damaged and it was hard to fix everything in time.	I think that it moves a little to fast for certain jobs, especially the engineer job. It should probably be fixed to fit every job.	9	6	8	It decreased my trust when, near the end, many thing were happining at once and the captain did not really know how to handle the situation. It increased my trust when the rest of the team helped him out by giving him as much information as they could.	We had to use communication when trying to find the new water source. We had to tell our position.	We had to find a way to get the fish to follow us. 	One would be social. You have to be social with your teammates to succeed   (Must have communication skills). You also need to be responsible for you to complete your job. Last, you must be calm. You have to be calm and cooperative to be able to work as a team.	5	Engineers	Yes	Yes	I believe that I could be a good fit for this job if I keep working at it.	I liked the doctor role. I have an interest in medical subjects and I think that I could succeed at that job.	They need to be able to communicate with their coworkers and be able to work effectively.	Yes	It was hard to fix everything on the ship with only a small amount of time to do it. The process was slow.	Yes	By working together, all jobs contributed to the success. It would make the job difficult if a few jobs were missing.									It had to do with global warming and how it affects many lives and the environment. It also shows pollution from the factories and what it does to animals like fish.	Teamwork is key when working in such a big group like the one we were in during the mission.
